hbidkhehhfk	KELTAKUKKIA
jclhahlcffh	pientarilla
dh	ja
cccbafcia	viihtyvät
fbai	yhtä
bfcch	hyvin
abchh	tuvan
jiccihjbiflcmlh	päivänpuoleisen
heebhhh	akkunan
hffh	alla
ebch	kuin
flbacblchicmlffi	lehtiheinäisellä
hccafffiech	niitylläkin
ebh	kun
chhh	vaan
mhhcha	saavat
ahljllemc	tarpeeksi
chfih	valoa
mcffi	sillä
mccaibih	siitähän
dh	ja
mcchi	siinä
hlech	nekin
lficia	elävät
lcciaei	eivätkä
cfghh	ilman
aicgllh	toimeen
abfl	tule
gim	Jos
hl	ne
himahcmccha	nostaisivat
jiihmi	päänsä
elmecelmiffi	keskikesällä
diffich	jolloin
cfgh	ilma
ih	on
aifhhi	täynnä
abillcah	tuoreita
abiembdh	tuoksuja
dh	ja
elhaia	kentät
ecldhcchh	kirjavina
mbimcabcklh	suosituiden
cilldlh	värejen
ebeech	kukkia
hcch	niin
abmech	tuskin
hccbch	niihin
fbiahcmcch	luotaisiin
mcaieiih	sitäkään
bbigciah	huomiota
gcai	mitä
hl	ne
elciih	kevään
lmceicmchh	esikoisina
imhemllh	osakseen
mhhcha	saavat
mclhla	Pienet
dh	ja
eielghaaigha	kokemattomat
lfigiihmi	elämäänsä
hfiaalflcha	alottelevat
diaeh	jotka
lccia	eivät
aclaicccmhcklh	tietoviisaiden
ahcich	tavoin
hccai	niitä
cicebecemc	voikukiksi
imhh	osaa
hlcimalffh	arvostella
chhh	vaan
cilcmai	väristä
jiiaailh	päättäen
femchellahcmlmac	yksinkertaisesti
elfahebecemc	keltakukiksi
ebambcha	kutsuvat
ehamlflcha	katselevat
hccai	niitä
cchaaighffh	viattomalla
fhjmleehhffh	lapsekkaalla
affafcicmffklffi	tyytyväisyydellä
dijh	jopa
icha	ovat
ahcjbcmch	taipuisia
hccai	niitä
ebfgcffllhech	kulmilleenkin
eibiaahghhh	kohottamaan
fclbiaaffji	Viehättyypä
diebhlh	jokunen
chhblgjcech	vanhempikin
hccai	niitä
blaecmlemc	hetkiseksi
ehamlflghhh	katselemaan
hchhech	ainakin
mlhaibklh	sentähden
laai	että
bihlmmi	hänessä
hccai	niitä
hibafiih	nähtyään
lbei	ehkä
bllii	herää
aicclcah	toiveita
aicmalh	toisten
jhllgjclh	parempien
jbbelhgcmlmah	puhkeamisesta
hlfahebeech	Keltakukkia
efc	Hyi
bbbkhbahh	huudahtaa
ebcalhech	kuitenkin
gihc	moni
kcch	Niin
bffcafcai	hylityitä
hl	ne
icha	ovat
dijh	jopa
bhfclemcabcah	halveksituita
kccffi	Niillä
ih	on
bffdiafh	hyljätyn
bhhflh	haalea
cilc	väri
dh	ja
ehaellhh	katkeran
gclflh	mielen
ehlchchlh	karvainen
ehhjb	kaapu
ccemc	Siksi
hl	ne
ichaech	ovatkin
hchihmahhh	ainoastaan
imhaaigclh	osattomien
fmaicci	ystäviä
dh	ja
lfigimmi	elämässä
mfmcafcklh	sysityiden
dh	ja
mfldifalaafdlh	syrjäytettyjen
mbimceeldh	suosikkeja
hbeecehh	Kukkikaa
ebcalhech	kuitenkin
elfahcmlaech	keltaisetkin
ebeha	kukat
dh	ja
hbclaehh	auvetkaa
bggbcmahhhl	ummuistanne
icelbm	oikeus
mccblh	siihen
ih	on
alcfflech	teillekin
mbiab	suotu
kcehhhl	Aikanne
ifabh	oltua
dh	ja
bhbiabemllh	unhotukseen
dibkbaabhhhl	jouduttuanne
mcecicia	sikiävät
efffi	kyllä
mhficffl	saloille
mchccbieia	sinivuokot
dh	ja
jbbelhcha	puhkeavat
jlhmhmaicmmh	pensastoissa
jbljjblhcmla	purppuraiset
lbbmba	ruusut
ciccabm	Sovitus
f	I
kcehhh	Aikana
diffich	jolloin
mlblhhcha	seuraavat
mlceha	seikat
ahjhbabccha	tapahtuivat
mccai	siitä
ihech	onkin
di	jo
ehbchh	kauvan
lc	ei
fichjfihhclgc	Väinölänniemi
hbijcimmh	Kuopiossa
ahldihhba	tarjonnut
mhghffhcmah	samallaista
hiefi	näkyä
ebch	kuin
hfefcmch	nykyisin
mbba	Puut
ifccha	olivat
iemhcmlggha	oksaisemmat
abbblhggha	tuuheammat
hfabih	nythän
hccmai	niistä
lbeiji	ehkäpä
mffmaiech	syystäkin
iemch	oksia
mfemfch	syksyin
ehlmcahhh	karsitaan
hcch	niin
laai	että
jllihclgcech	peräniemikin
jchh	pian
hfehh	alkaa
hifaaii	näyttää
jffcimeifaicifai	pylväskäytävältä
diheh	jonka
ffiimhmmh	yläosassa
chch	vain
cclfi	vielä
ih	on
cibch	vähin
ccblliai	vihreätä
hibaicihi	nähtävänä
dlcai	Teitä
ifc	oli
ciblggih	vähemmän
dh	ja
hlech	nekin
ehcahcmlgjch	kaitaisempia
lcei	eikä
femchicmlh	yksinäisen
ebfecdhh	kulkijan
ahlcchhba	tarvinnut
jlfialh	peläten
jicmabh	poistua
ffjlih	ylpeän
jifebjfjlicfcdih	polkupyöräilijän
lklmai	edestä
hcchebch	niinkuin
hfa	nyt
jcmmi	Missä
hfa	nyt
bcdha	uijat
cfheiccha	ilakoivat
mcchi	siinä
lhhlh	ennen
mhfhgclfchlh	salamielinen
milmh	sorsa
jiceblchllh	poikueineen
lhbbhffcmlmac	rauhallisesti
jbfhelbalfc	pulakehteli
lamclh	etsien
jibdhgbkhmah	pohjamudasta
lcimai	evästä
gcai	mitä
fcl	lie
lamchfaeiih	etsinytkään
emehfmcjh	Uskalsipa
ml	se
dimebm	joskus
hblchaih	auringon
hibmalmmh	noustessa
hmabh	astua
ffc	yli
ehcahcmlh	kaitaisen
ehhhhemlh	kannaksen
lbibilhhahcmllh	ruohorantaiseen
jbcklh	puiden
jcclcaaigiih	piirittämään
fhgjllhech	lampeenkin
cigh	Soma
mcchi	siinä
ifc	oli
iffhech	ollakin
mcffich	silloin
abimmh	tuossa
cclbelimmi	viehkeässä
clmchggllmmh	vesiammeessa
diheh	jonka
lhachlh	entinen
fbihaijllichlh	luontoperäinen
ehbhlbm	kauneus
hfa	nyt
ih	on
ebiflalaab	kuoletettu
bbklh	uuden
hdhh	ajan
ehbhihcmach	kaunoaistin
elemcgiffi	keksimällä
ehfiachgbiaicmlffh	kalotinmuotoisella
mhhllffh	saarella
dieh	joka
lc	ei
ifl	ole
gcaiih	mitään
gbbah	muuta
ebch	kuin
jbcmalh	puisten
jhhfbdlh	paalujen
jiiffi	päällä
ajejaaici	tököttävä
ablclfidi	turveläjä
bc	Ei
iffba	ollut
mccblh	siihen
hcehhh	aikaan
gfjmeiih	myöskään
bbccbbihlcah	huvihuoneita
hclgclh	niemien
hlhcmmi	nenissä
hhbhcch	Kauniin
hhffhhmlfih	Kallanselän
ehamlfcdh	katselija
mhc	sai
cbhmabhllhh	ihastuneena
cmabbabh	istuutua
lbibceiffl	ruohikolle
ahc	tai
eichffl	kovalle
ehffciffl	kalliolle
jbaah	Mutta
ml	se
gcei	mikä
mcffich	silloin
ifc	oli
gbaah	mutta
diah	jota
lc	ei
lhiih	enään
ifl	ole
ifc	oli
lhcchaifh	ravintola
jhlhhhbmmhbhhh	parannussaunan
lfc	eli
hfefcmlh	nykyisen
effjfbbihllh	kylpyhuoneen
lkbmahffh	edustalla
mcchi	siinä
gcmmi	missä
hfaech	nytkin
cclfi	vielä
ih	on
gbcmaihh	muistona
mflllhclh	syreenien
mhhlahgh	saartama
hlfcmebfghchlh	neliskulmainen
hccaafjhfmah	niittypalsta
cchhl	Sinne
jffkih	pyydän
hfa	nyt
bfcihahbaicmlmac	hyväntahtoisesti
cclki	viedä
bhfbffcmla	halulliset
fbecdha	lukijat
dh	ja
hfehh	alkaa
ellaigbemlhc	kertomukseni
cbimch	vuosia
mcaalh	sitten
ahjhbabhlcmah	tapahtuneista
ahhmmcdhcmcmah	tanssijaisista
mhghmmh	samassa
bbccfhlhcchaifhmmh	huvilaravintolassa
hffjfehbmc	Kylpykausi
ih	on
fijjbbh	loppuun
ebfbhba	kulunut
lh	On
mcemc	siksi
cclecmafaaf	virkistytty
laai	että
cickhhh	voidaan
fijjchcmcemc	loppiaisiksi
ahhmmcmmh	tanssissa
eilaahh	koettaa
dhfeidlh	jalkojen
elmaicffaai	kestävyyttä
ebccfh	Huvila
ih	on
bfcch	hyvin
chfhcmab	valaistu
hhbjbhach	Kaupungin
micaaiebhah	soittokunta
jcaii	pitää
bbifah	huolta
bcfjlimai	hilpeästä
gclfchfhmah	mielialasta
diah	jota
cclfi	vielä
dbigclh	juomien
bbbghhcha	huumaavat
ccllha	virrat
fcmiicia	lisäävät
kemlfc	Akseli
bbbahh	huutaa
aiacjjfkimai	totipöydästä
jbhhjimechlh	punaposkinen
dh	ja
lbmihieehchlh	rusonokkainen
jbfflh	pullea
blllh	herra
lliiffl	eräälle
hbillgghffl	nuoremmalle
bicehffl	hoikalle
gbcbch	muihin
mlfch	selin
mlcmichffl	seisovalle
gclblffl	miehelle
dieh	joka
hdhabemcmmhhh	ajatuksissaan
ehamlfll	katselee
bfim	ulos
cffhh	illan
bigiliih	hämärään
dh	ja
hhjbaalfll	naputtelee
fhmch	lasin
lbbabcbch	ruutuihin
kemlfc	Akseli
gcai	mitä
bcaaih	hittoa
mcchi	siinä
mlcmimelfla	seisoskelet
dh	ja
bhhclemca	haaveksit
diaah	Totta
aimchhhech	tosiaankin
dbbfhh	juhlan
ghlmhfeec	marsalkki
mlcmiabhh	seisothan
ebch	kuin
mlfch	selin
eiihhlaaf	käännetty
ebchjhamhm	kuvapatsas
bibelbaah	Rohkeutta
hhhhabhh	annathan
hhcmalh	naisten
cmabh	istua
cfghh	ilman
bhfbaabh	haluttua
mlblhhmc	seuraasi
chceeh	vaikka
hcch	niin
la	et
aiachehhh	totiakaan
ghcmah	maista
bibelbaah	Rohkeutta
jiceh	poika
jcmmi	Missä
ih	on
jlchmlmmhmc	prinsessasi
eimeh	koska
chhh	Sana
jlchmlmmh	prinsessa
jcmac	pisti
ebch	kuin
jbbeei	puukko
jbbbalfabh	puhuteltua
eih	Hän
eiihafc	kääntyi
hceic	aikoi
diahech	jotakin
chmahah	vastata
chhh	vaan
bcffcamc	hillitsi
camlhmi	itsensä
kh	Aa
lcej	eikö
aiaah	totta
dhaeic	jatkoi
imejchlh	äsköinen
gclm	mies
dh	ja
gbbahgha	muutamat
hhblhh	nauraa
ljbjaaccia	röhöttivät
dh	ja
aclecmalfccia	tirkistelivät
fhmlcbchmh	laseihinsa
kemlfch	Akselin
jimela	posket
icha	ovat
jbhhcmla	punaiset
ebch	kuin
mlbeimlh	Pehkosen
jclaac	pirtti
eih	Hän
glhc	meni
jbbbalffbh	puhutellun
fbi	luo
fjc	löi
bihai	häntä
bcfdhh	hiljaa
bhlacicffl	hartioille
dh	ja
mhhic	sanoi
abih	tuon
mhhhh	sanan
libelbaah	rohkeutta
diah	jota
hcch	niin
bbaallhmac	uutterasti
hifaac	näytti
eifaaicih	käyttävän
ehhclcflaei	Haaveiletko
lheehbaah	rakkautta
dieh	joka
ih	on
jcfccmmi	pilvissä
hmac	asti
diah	jota
lc	ei
ghchlh	mainen
fhjmc	lapsi
ahcicah	tavoita
jfhaiihcmah	platoonista
jbbkhmah	puhdasta
hcch	niin
jlhl	Mene
jicm	pois
bih	hän
bhjbcfc	hapuili
diahech	jotakin
mijcchh	sopivaa
mhhhh	sanaa
aceeh	tikka
mhhic	sanoi
bih	hän
cccglch	viimein
dceeh	Tikka
aicmac	toisti
abi	tuo
di	jo
dialhech	jotenkin
dbijbhba	juopunut
cchcfcdh	ivailija
mhhicaei	sanoitko
aceeh	tikka
chhich	Sanoin
lflabhh	Olethan
eiei	koko
cffhh	illan
hieehcffba	nokkaillut
dh	ja
jcmalfffa	pistellyt
gchbh	minua
ebch	kuin
aceeh	tikka
chcchcmah	vaivaista
fhbih	lahoa
jbbah	puuta
ceiihebch	ikäänkuin
ifcmch	olisin
gceiech	mikäkin
aibeeheiei	toukkakoko
mhhic	sanoi
bih	hän
dh	ja
glhc	meni
dbbfhmhfcch	juhlasaliin
lcelch	Oikein
bbbmccha	huusivat
gbbahgha	muutamat
jjfkimai	pöydästä
ihbhh	onhan
mijcghaihah	sopimatonta
gichlh	moinen
jcmaijbbl	pistopuhe
hcch	niin
bcfdhcmlffl	hiljaiselle
dh	ja
bfciffl	hyvälle
gclblffl	miehelle
ebch	kuin
kemlfc	Akseli
ih	on
gim	Jos
bih	hän
hfa	nyt
bheehcfllech	hakkaileekin
abiah	tuota
fbai	yhtä
gbcah	muita
lhlggih	enemmän
lcbih	eihän
mcchi	siinä
gcaiih	mitään
jhbhh	pahaa
ifl	ole
hbeh	Kuka
bfcihmi	hyvänsä
glcmai	meistä
ifcmc	olisi
ihhlffchlh	onnellinen
dim	jos
bih	hän
bfciemfcmc	hyväksyisi
jhjlllcahggl	papereitamme
hlai	Ketä
fbai	yhtä
ebeh	kuka
bih	hän
efmfc	kysyi
gbbkhh	muudan
jjfkih	pöydän
jiimai	päästä
dh	ja
jffbec	pyyhki
jicm	pois
abjhehhjilih	tupakanporoa
mlheechmh	frakkinsa
ehbfbemlfah	kaulukselta
lh	en
ifl	ole
iffba	ollut
elmii	kesää
ehbjbhacmmh	kaupungissa
lhei	enkä
mccm	siis
aclki	tiedä
gcmai	mistä
ih	on
efmfgfm	kysymys
jcmaiej	Mistäkö
efmfgfm	kysymys
jbbaabc	puuttui
jbbllmlh	puheesen
hifhbemlh	nolauksen
difellh	jälkeen
di	jo
bcbehh	hiukan
aicjbhba	toipunut
jbhheeh	punakka
jbfflh	pullea
blllh	herra
cccai	Siitä
laai	että
abi	tuo
kemlfc	Akseli
jhbhchlh	pahainen
hbfceeh	nulikka
jlfhh	pelaa
ehchfdlllch	kavaljeeria
ffc	yli
gbcklh	muiden
mlchmlmmhmah	Prinsessasta
ih	on
efmfgfm	kysymys
abimah	tuosta
jlcdheehhh	peijakkaan
ehbhccmah	kauniista
mhemhaahllmah	saksattaresta
chc	vai
bcaaiei	hittoko
bih	hän
fcl	lie
diah	jota
ehceec	kaikki
blllha	herrat
cbhcflcha	ihailevat
dh	ja
hhcmla	naiset
ehklbaccha	kadehtivat
dh	ja
diheh	jonka
ehhmmh	kanssa
kemlfc	Akseli
ih	on
albhfa	tehnyt
clhlllaeci	veneretkiä
ilbaimhhllh	Lehtosaaren
lhhhicffl	rannoille
dh	ja
gieh	Joka
lc	ei
clfc	veli
dcgih	Timon
ehhmmh	kanssa
ifl	ole
fibalhfa	lähtenyt
clmcffl	vesille
mhhic	sanoi
dieb	joku
dibeimah	joukosta
cl	Se
ih	on
mccm	siis
ehalbaah	kateutta
ehceec	kaikki
flfc	Veli
dcgi	Timo
ifla	olet
gbmahmbeehchlh	mustasukkainen
mhhic	sanoi
blllh	herra
jjfkih	pöydän
jiimai	päästä
dh	ja
glhc	meni
bihech	hänkin
mhfcch	saliin
dimmh	jossa
dbblc	juuri
micalaacch	soitettiin
ahhmmcch	tanssiin
jbmahmbeehchlhei	Mustasukkainenko
bibelbaah	Rohkeutta
lflhei	Olenko
jffaihfa	pyytänyt
elfeehlch	Helkkarin
hiaac	nätti
blgjb	hempu
bibelbaah	Rohkeutta
bibelbaah	Rohkeutta
ebihl	Huone
afbdlhc	tyhjeni
jchh	pian
mhcamc	Paitsi
jhlch	paria
chhblgjhh	vanhempaa
blllhh	herraa
cmabc	istui
jjfkimmi	pöydässä
hchihmahhh	ainoastaan
dcgi	Timo
diheh	jonka
jii	pää
hbieebc	nuokkui
jjfaiih	pöytään
jich	päin
bihlh	hänen
ahchhahehh	tavantakaa
bieclmmhhh	hokiessaan
gclfcmhhhhhmh	mielisanaansa
libelbaah	rohkeutta
elaecmlh	Hetkisen
difellh	jälkeen
hbelhh	aukeaa
icc	ovi
mhlc	Pari
hbilah	nuorta
blllhh	herraa
abfll	tulee
mccai	siitä
chhghlc	Saamari
miceiih	soikoon
bih	hän
ih	on
aibac	tähti
fhfelh	Valkea
mijcc	sopii
ghchcimac	mainiosti
bihlh	hänen
abgghh	tumman
abeehhmh	tukkansa
jibdhemc	pohjaksi
bhaim	Entäs
hbi	nuo
mcfgia	silmät
kicaej	Näitkö
ebcheh	kuinka
kemlfc	Akseli
bihai	häntä
mfjlcaalfc	Pyöritteli
ebch	kuin
ighhhmh	omaansa
feiihebch	Ikäänkuin
lc	ei
gbcffh	muilla
ifcmc	olisi
icelbaah	oikeutta
ahhmmcaahhehhh	tanssittaakaan
bihai	häntä
kichbih	Näinhän
gbaah	mutta
gbbahech	muutakin
jcai	Mitä
mlhej	senkö
laai	että
kemlfc	Akseli
ih	on
lhehmabhba	rakastunut
bihllh	häneen
eilcch	korvia
gfjalh	myöten
jbbahech	Muutakin
jcai	Mitä
mhhi	sano
bcaiffh	hitolla
eih	Hän
ih	on
gfjm	myös
jcelfafhfa	pikeytynyt
kemlfcch	Akseliin
jcai	Mitä
mhhia	sanot
jcjjblch	pippuria
li	Oo
mhhi	sano
gchbh	minua
chflbalfcdhemc	valehtelijaksi
lfcmcajh	Olisitpa
hibhfa	nähnyt
gcalh	miten
abaahchffcmlmac	tuttavallisesti
bl	he
eihla	Hänet
elmelfaac	keskeytti
abfcdicklh	tulijoiden
abfch	tulva
dhhmmc	Tanssi
ifc	oli
fijjbhba	loppunut
dh	ja
ebech	kukin
mfafaalfc	sytytteli
abjheehhhmh	tupakkaansa
bibelbaah	Rohkeutta
mhhic	sanoi
dcgi	Timo
billiemcmahhh	horroksistaan
bifchiih	hälinään
blliaafiih	herättyään
ccchi	Siinä
mcaalh	sitten
bifcmacch	hälistiin
cchcfacch	ivailtiin
fhmelaacch	laskettiin
flceeci	leikkiä
dh	ja
eccmalfacch	kiisteltiin
dh	ja
gicacaacch	moitittiin
bfcci	hyviä
dh	ja
ciblggch	vähemmin
bfcci	hyviä
ahhmmcdicah	tanssijoita
hbehhh	Kukaan
lc	ei
bifchimmi	hälinässä
bbighhhba	huomannut
ebcheh	kuinka
kemlfc	Akseli
jbdhbac	pujahti
bfim	ulos
iclmah	ovesta
lfcbhh	Olihan
ahhmmch	tanssin
figh	loma
dh	ja
hfa	nyt
jcac	piti
mccm	siis
diehcmlh	jokaisen
cclecmalfficki	virkistelläidä
efim	Ulos
jiimafiih	päästyään
kemlfc	Akseli
ehamic	katsoi
fgjilcffllh	ympärilleen
dh	ja
bcclfc	hiveli
hlhifcchhffhhh	nenäliinallaan
bclmafhfaai	hiestynyttä
iamhhhmh	otsaansa
dlec	Teki
hcch	niin
bfcii	hyvää
abi	tuo
cffhh	illan
cccflfm	viileys
mcaech	Pitkin
aclai	tietä
eiclfc	käveli
eimc	käsi
ehchhfimmh	kainalossa
ehemc	kaksi
hhcmah	naista
hbh	Kun
bl	he
eiihmccia	käänsivät
mlfeihmi	selkänsä
kemlfcffl	Akselille
eiihafc	kääntyi
bih	hän
dh	ja
alec	teki
ehhlliemlh	kaarroksen
ehlahhih	kartanon
jiikfh	päädyn
jbifcaml	puolitse
aicmlffl	toiselle
jbiflffl	puolelle
cclffi	Siellä
bih	hän
cclfi	vielä
ccfehmc	vilkasi
ahhemllh	taakseen
dh	ja
ebh	kun
lc	ei
elaiih	ketään
hibhfa	nähnyt
hmalfc	asteli
bih	hän
lalggi	etemmä
mhlc	Pari
eifgl	kolme
ebieeblch	kuokkuria
jjaeccia	pötkivät
jheimhffl	pakosalle
bihlh	hänen
lklffiih	edellään
eih	Hän
eiihafc	kääntyi
chmlgghffl	vasemmalle
dh	ja
hiec	näki
cffhh	illan
jcglimmi	pimeässä
diahech	jotakin
chfelhh	valkeaa
ebbgiaahchh	kuumottavan
lliih	erään
jlhech	penkin
eibkhfah	kohdalta
kfchl	Aline
mhhic	sanoi
bih	hän
chlichcmlh	varovaisen
bcfdhh	hiljaa
kemlfc	Akseli
ebbfbc	kuului
mhgich	samoin
iihc	ääni
jlhecfai	penkiltä
gcemc	miksi
hcch	niin
ehbchh	kauvan
hhbchhei	Kauvanko
mlfeimcaej	Pelkäsitkö
di	jo
lb	Oh
lh	en
kemlfc	Akseli
cmabc	istui
jlhecffl	penkille
kfchl	Aline
mhhic	sanoi
bih	hän
lhhlh	ennen
ifca	olit
mchi	sinä
gchbmah	minusta
ehbhcm	kaunis
hfa	nyt
ifla	olet
mchi	sinä
bblghhch	hurmaava
dh	ja
lfi	Älä
mhhi	sano
hcch	niin
bhbih	Enhän
gbbah	muuta
ifl	ole
jhfdi	paljo
ebbffbaehhh	kuullutkaan
eiei	koko
cfahhh	iltana
bc	Ei
mhhi	sano
ebcalhech	kuitenkin
cchi	Sinä
ebh	kun
mlh	sen
mhhia	sanot
hcch	niin
glfelch	melkein
bmeih	uskon
dh	ja
abhabb	tuntuu
mchbh	sinun
mhhilmmhmc	sanoessasi
hcch	niin
mighffl	somalle
kcch	Niin
mchi	sinä
ifla	olet
aimchhhech	tosiaankin
ehbhcm	kaunis
fcchh	liian
ehbhcm	kaunis
fcchh	liian
bfci	hyvä
jfmfiemlmc	pysyäksesi
aiiffi	täällä
kcch	Niin
bbiglhhhbhh	huomennahan
di	jo
hcdia	aijot
fibali	lähteä
lihc	Ääni
ebbfimac	kuulosti
mblbffcmlfah	surulliselta
ebiglhhh	Huomenna
kemlfc	Akseli
mcai	sitä
abmech	tuskin
ebbfc	kuuli
bih	hän
dhaeic	jatkoi
baej	Etkö
cic	voi
cccjfi	viipyä
jiccii	päivää
jhlch	paria
ba	Et
cic	voi
bmeih	uskoa
gchbmah	minusta
chhh	vaan
abhabb	tuntuu
lh	en
aclki	tiedä
gcemc	miksi
mcfai	siltä
ebch	kuin
la	et
mchi	sinä
fibacmceiih	lähtisikään
bbiglhhh	huomenna
jchbh	Minun
aifaff	täytyy
bcflh	Eilen
ahhm	taas
mhcggl	saimme
ecldllh	kirjeen
eiaih	kotoa
dimmh	jossa
eccbelimac	kiihkeästi
eiacch	kotiin
ehcchahhh	kaivataan
diacffi	Tätillä
mcaijhcamc	sitäpaitsi
ih	on
eiei	koko
elmih	kesän
glfelch	melkein
iffba	ollut
ceici	ikävä
aiiffi	täällä
eihbih	Hänhän
jbbbb	puhuu
hcch	niin
chcchficmlmac	vaivaloisesti
lbiamch	ruotsia
dh	ja
mhemhh	saksan
ahcahcch	taitavia
aiiffi	täällä
ih	on
cibi	vähä
ccaijhcamc	Sitäpaitsi
mfemfech	syksykin
di	jo
dibabb	joutuu
dh	ja
ghaeh	matka
ih	on
jcaei	pitkä
kcch	Niin
ml	se
ih	on
aiaah	totta
mchbh	sinun
aifaff	täytyy
dh	ja
gchbh	minun
aifaff	täytyy
jcai	Mitä
giiki	Jäädä
diaah	Totta
efffi	kyllä
chhh	vaan
ahchahhhbhh	tavataanhan
ahhmlh	taasen
dffhhf	Tyynny
aiec	toki
hbehjh	Kukapa
mlh	sen
aclaii	tietää
jlhlabih	Menethän
hcch	niin
ehbchm	kauvas
ahheml	taakse
chcghhh	Saimaan
ffc	yli
faiglllh	Itämeren
mcaal	sitte
cclfi	vielä
lcej	eikö
aiaah	totta
ghhah	maata
ghhah	maata
jcaeih	pitkän
ghaehh	matkan
jbblfc	puheli
kemlfc	Akseli
hhahlh	antaen
eccbeicmlh	kiihkoisen
fbihallhmh	luonteensa
jiimai	päästä
chfficffllh	valloilleen
jlhlh	Menen
efffiech	kylläkin
ehbchm	kauvas
chhh	vaan
mchhlbih	sinnehän
mchiech	sinäkin
ifla	olet
fbchhhba	luvannut
abffh	tulla
mcaalh	sitten
kcch	Niin
mcaalh	sitten
jbaah	Mutta
ebeh	kuka
aclaii	tietää
dim	jos
gim	Jos
kcch	Niin
lc	ei
gcaiih	mitään
chhh	vaan
ihbhh	onhan
mccblh	siihen
hcch	niin
ehbchh	kauvan
ficbhh	Voihan
bhbiaabh	unhottua
aiffhchlh	tällainen
mhfihfhjmc	salonlapsi
mbblllh	suureen
ghhcfghhh	maailmaan
ahhm	taas
mhhcbaabhmc	saavuttuasi
cchiej	Sinäkö
cl	Se
abfc	tuli
jhchiffh	painolla
lb	Oh
lc	ei
kfa	Nyt
ifc	oli
kfchlh	Alinen
cbili	vuoro
eccbafi	kiihtyä
bhhlh	Ennen
ebh	kun
gchbffl	minulle
ellliaacch	kerrottiin
eiaihh	kotona
cbiglh	Suomen
dffbcmai	jylhistä
mhficmah	saloista
dh	ja
dilccmai	järvistä
chhlidlh	vaarojen
hffh	alla
dh	ja
jcaeimai	pitkästä
jcglimai	pimeästä
ahfclmah	talvesta
dh	ja
ehbhccmah	kauniista
ffbflmai	lyhyestä
elmimai	kesästä
bllimc	heräsi
gchbmmh	minussa
bhfb	halu
hibki	nähdä
aigi	tämä
ghh	maa
gbaah	mutta
mhghffh	samalla
gchi	minä
jlfeimch	pelkäsin
mlfeimca	Pelkäsit
gcai	mitä
kdhaalfch	Ajattelin
laai	että
cbgcmla	ihmiset
aiiffi	täällä
icha	ovat
effgci	kylmiä
ebch	kuin
ahfclh	talven
bhhec	hanki
dh	ja
ceicci	ikäviä
ebch	kuin
mfemfh	syksyn
cfah	ilta
chhh	vaan
hfa	nyt
ebh	kun
hl	ne
iflh	olen
